Id,SalePrice
1461,126551.016
1462,164426.44
1463,183651.86
1464,189688.61
1465,198350.31
1466,168909.03
1467,174844.7
1468,170596.4
1469,174348.7
1470,126682.5
1471,201120.53
1472,91522.055
1473,97579.53
1474,151572.78
1475,127080.9
1476,420097.28
1477,257498.73
1478,318696.03
1479,230550.92
1480,489203.06
1481,334806.9
1482,204322.75
1483,176556.36
1484,174515.34
1485,173010.7
1486,194816.56
1487,360779.0
1488,236881.88
1489,221713.06
1490,204206.19
1491,184053.78
1492,83525.05
1493,191707.28
1494,281166.8
1495,276499.3
1496,243672.89
1497,189699.92
1498,159740.69
1499,156560.7
1500,149660.34
1501,184260.36
1502,158952.95
1503,320201.7
1504,224962.34
1505,227893.03
1506,192428.06
1507,238589.73
1508,210112.0
1509,162278.67
1510,141255.69
1511,141330.38
1512,163892.2
1513,150890.03
1514,172545.92
1515,190499.4
1516,155402.64
1517,156839.88
1518,124052.24
1519,227744.8
1520,138566.1
1521,138947.25
1522,168899.16
1523,119717.35
1524,120244.09
1525,124469.97
1526,123610.664
1527,101796.16
1528,129177.17
1529,144518.81
1530,168799.8
1531,116399.14
1532,103392.914
1533,146213.86
1534,115411.625
1535,165560.62
1536,121916.87
1537,72493.06
1538,179246.78
1539,177800.19
1540,105669.4
1541,147197.66
1542,147422.42
1543,219918.33
1544,76609.98
1545,106416.87
1546,128796.18
1547,150701.31
1548,132798.33
1549,123968.78
1550,150810.42
1551,110796.195
1552,140265.52
1553,141797.02
1554,117491.99
1555,167927.45
1556,80714.1
1557,114603.47
1558,84790.71
1559,78972.21
1560,136008.17
1561,143175.95
1562,127331.27
1563,119763.92
1564,144039.3
1565,152413.17
1566,208335.42
1567,76334.695
1568,226701.72
1569,146478.62
1570,131160.8
1571,133777.33
1572,146118.89
1573,246232.95
1574,103985.48
1575,206471.64
1576,228918.92
1577,207703.61
1578,148666.22
1579,142042.53
1580,192240.78
1581,144966.69
1582,127483.59
1583,342937.34
1584,243559.36
1585,140264.75
1586,68569.38
1587,92303.46
1588,152706.61
1589,91600.766
1590,134838.48
1591,100296.29
1592,128057.26
1593,111184.47
1594,135347.27
1595,106070.13
1596,251514.14
1597,174034.55
1598,200322.36
1599,201249.45
1600,196127.89
1601,76683.65
1602,106518.45
1603,90184.98
1604,268258.22
1605,244364.11
1606,177109.78
1607,162602.64
1608,208875.05
1609,203324.17
1610,164073.33
1611,134300.83
1612,158917.98
1613,151602.42
1614,115342.28
1615,82131.086
1616,74103.375
1617,84116.59
1618,130526.31
1619,128614.99
1620,161873.61
1621,139808.05
1622,150553.75
1623,303870.9
1624,217758.48
1625,122489.625
1626,170204.16
1627,186247.05
1628,269944.2
1629,178697.33
1630,368949.6
1631,225657.45
1632,257617.05
1633,170849.86
1634,185438.31
1635,182341.56
1636,157028.95
1637,185718.92
1638,203518.56
1639,182358.72
1640,261804.05
1641,179487.17
1642,224629.31
1643,228050.28
1644,228963.94
1645,194985.17
1646,159620.48
1647,158023.08
1648,129390.08
1649,141961.33
1650,111618.95
1651,117559.164
1652,93862.56
1653,95971.92
1654,153619.72
1655,153944.88
1656,145947.64
1657,154415.78
1658,144203.47
1659,139001.92
1660,149260.9
1661,454362.22
1662,367804.72
1663,373371.62
1664,469708.16
1665,324815.4
1666,325825.28
1667,364363.97
1668,335547.22
1669,291011.88
1670,340805.56
1671,264257.72
1672,508250.44
1673,291961.38
1674,251523.14
1675,190444.83
1676,192703.83
1677,228033.94
1678,470955.3
1679,407681.25
1680,335652.38
1681,260728.55
1682,306865.8
1683,179847.06
1684,163569.45
1685,173515.83
1686,164158.9
1687,165481.22
1688,181409.47
1689,186377.81
1690,187430.89
1691,181860.58
1692,283270.7
1693,168015.77
1694,186568.86
1695,168438.75
1696,269667.3
1697,181420.39
1698,361940.66
1699,347808.12
1700,259214.16
1701,257675.55
1702,248608.02
1703,245344.8
1704,289280.78
1705,238565.12
1706,462332.75
1707,230682.89
1708,225827.62
1709,272592.56
1710,230136.75
1711,267299.28
1712,231067.77
1713,254202.6
1714,222995.47
1715,212160.44
1716,181489.81
1717,165185.98
1718,135785.19
1719,205672.02
1720,256537.89
1721,163129.77
1722,124665.27
1723,154400.69
1724,208222.03
1725,228514.25
1726,192258.28
1727,164546.7
1728,168813.42
1729,167061.69
1730,168613.8
1731,117507.85
1732,134596.88
1733,119096.25
1734,119811.59
1735,137361.06
1736,116618.43
1737,345541.06
1738,223023.52
1739,258024.73
1740,215487.08
1741,195095.19
1742,177661.12
1743,174098.48
1744,282250.5
1745,235856.77
1746,226860.25
1747,212837.28
1748,204344.58
1749,150449.69
1750,135170.02
1751,235010.03
1752,121467.97
1753,134502.66
1754,202109.05
1755,172212.38
1756,131857.03
1757,126069.14
1758,143619.28
1759,164921.45
1760,159085.86
1761,137086.11
1762,167478.6
1763,163203.77
1764,114236.41
1765,167426.0
1766,169615.92
1767,206828.33
1768,141254.94
1769,152628.47
1770,144601.88
1771,135131.16
1772,142323.5
1773,137802.92
1774,117850.195
1775,144028.7
1776,128295.82
1777,116139.19
1778,136454.39
1779,113962.586
1780,178740.22
1781,127439.49
1782,96860.58
1783,130780.16
1784,104198.83
1785,117230.75
1786,140639.78
1787,173930.48
1788,55427.523
1789,93748.23
1790,89695.86
1791,176502.17
1792,158651.02
1793,139977.92
1794,149619.11
1795,136104.16
1796,122577.51
1797,116749.77
1798,128860.125
1799,117358.39
1800,130594.01
1801,138386.06
1802,141252.0
1803,142759.53
1804,146144.27
1805,132377.52
1806,114923.734
1807,131410.83
1808,108503.125
1809,123252.12
1810,152583.03
1811,106298.164
1812,102712.38
1813,121786.13
1814,90347.695
1815,56174.355
1816,95451.19
1817,122210.086
1818,131172.2
1819,109911.0
1820,57120.445
1821,122373.47
1822,152079.44
1823,40443.676
1824,147214.62
1825,141383.55
1826,102334.51
1827,99736.78
1828,140542.06
1829,111027.7
1830,155728.58
1831,148570.67
1832,92318.82
1833,138190.47
1834,114237.84
1835,146034.4
1836,138948.7
1837,83856.2
1838,132221.73
1839,87684.305
1840,178895.77
1841,157551.31
1842,79999.625
1843,130392.79
1844,140461.67
1845,138754.0
1846,148500.16
1847,142065.73
1848,55740.42
1849,114132.84
1850,127257.43
1851,151685.88
1852,129391.47
1853,133111.58
1854,175851.16
1855,143028.12
1856,215086.98
1857,166291.31
1858,136636.66
1859,118788.57
1860,151661.75
1861,118791.625
1862,267341.7
1863,258449.61
1864,258449.61
1865,325965.44
1866,345024.25
1867,246647.62
1868,313682.5
1869,202437.84
1870,247072.94
1871,248866.14
1872,168109.75
1873,237162.95
1874,138957.25
1875,192558.4
1876,191303.0
1877,210482.16
1878,215357.5
1879,141562.0
1880,136375.17
1881,235095.98
1882,248840.22
1883,204032.52
1884,213743.03
1885,261943.83
1886,308998.44
1887,202682.17
1888,267820.4
1889,151165.62
1890,130624.04
1891,141576.9
1892,110669.1
1893,130439.03
1894,121046.43
1895,146153.34
1896,130170.0
1897,111704.305
1898,104227.11
1899,158670.03
1900,168579.36
1901,182018.72
1902,132587.3
1903,204791.05
1904,151838.39
1905,188414.67
1906,170043.08
1907,213415.8
1908,122369.79
1909,138212.81
1910,121663.89
1911,213443.66
1912,275771.72
1913,149264.45
1914,62626.3
1915,357714.7
1916,65432.99
1917,257026.53
1918,138943.75
1919,166436.2
1920,138665.2
1921,417522.62
1922,304043.44
1923,226671.95
1924,247053.95
1925,210851.3
1926,375927.66
1927,138669.66
1928,162471.56
1929,129072.65
1930,131677.84
1931,139521.2
1932,137537.72
1933,182530.8
1934,180692.52
1935,176418.64
1936,190795.53
1937,181651.98
1938,173547.12
1939,259263.1
1940,198003.89
1941,170289.4
1942,192813.44
1943,199346.02
1944,338071.28
1945,397414.3
1946,160503.9
1947,332948.34
1948,165460.1
1949,250791.92
1950,181859.34
1951,265598.7
1952,248357.86
1953,174207.61
1954,177827.03
1955,126403.55
1956,273975.12
1957,158054.9
1958,302921.16
1959,133201.23
1960,116174.34
1961,117328.07
1962,98266.14
1963,103973.18
1964,114114.89
1965,150287.86
1966,144810.25
1967,326328.3
1968,419997.9
1969,392265.78
1970,472532.66
1971,495415.8
1972,348006.3
1973,255510.08
1974,308289.28
1975,472607.75
1976,277725.47
1977,349930.94
1978,383467.28
1979,328024.7
1980,195000.62
1981,342429.6
1982,244107.23
1983,222435.22
1984,164033.83
1985,214025.92
1986,209748.27
1987,183531.73
1988,179064.25
1989,191175.89
1990,221422.67
1991,251762.89
1992,226725.66
1993,168123.44
1994,233196.86
1995,180326.47
1996,221593.56
1997,316059.38
1998,325357.06
1999,261018.19
2000,309560.25
2001,254549.02
2002,239953.36
2003,239850.31
2004,259149.67
2005,238634.02
2006,240706.2
2007,244686.86
2008,221585.5
2009,197270.17
2010,183233.33
2011,140143.67
2012,178550.94
2013,183591.72
2014,185545.03
2015,194708.97
2016,200008.62
2017,203512.34
2018,117230.625
2019,133321.89
2020,107156.4
2021,114805.3
2022,175475.78
2023,141315.12
2024,224651.98
2025,383711.38
2026,175191.36
2027,152553.72
2028,146701.89
2029,180266.95
2030,270783.2
2031,263676.8
2032,269219.2
2033,255804.97
2034,162006.03
2035,216955.97
2036,178140.66
2037,185473.64
2038,341195.53
2039,218990.88
2040,394588.8
2041,283222.84
2042,206402.66
2043,168275.73
2044,163019.9
2045,220097.12
2046,128781.195
2047,153076.73
2048,135575.86
2049,125950.88
2050,184296.4
2051,108341.93
2052,128004.32
2053,149116.53
2054,90715.97
2055,150420.06
2056,132212.05
2057,121158.11
2058,237742.4
2059,120470.03
2060,168248.02
2061,181221.38
2062,133061.77
2063,112179.86
2064,141388.58
2065,131079.67
2066,176239.3
2067,114163.336
2068,123932.695
2069,80738.66
2070,110636.22
2071,92352.66
2072,132251.12
2073,137526.81
2074,188714.97
2075,151122.66
2076,129436.31
2077,152654.56
2078,128952.64
2079,122581.89
2080,120952.58
2081,119669.97
2082,141478.28
2083,137663.4
2084,111118.08
2085,129202.63
2086,114528.88
2087,113252.84
2088,100615.45
2089,77833.2
2090,131381.62
2091,134646.05
2092,137689.2
2093,128243.48
2094,130514.445
2095,146626.58
2096,78841.266
2097,106783.69
2098,149029.42
2099,57478.85
2100,97307.68
2101,124738.016
2102,126020.36
2103,100717.85
2104,125009.41
2105,130935.0
2106,70573.055
2107,236017.9
2108,123584.555
2109,117942.31
2110,139055.38
2111,143385.98
2112,137066.97
2113,121814.54
2114,104415.72
2115,154436.23
2116,118115.164
2117,159196.55
2118,122203.836
2119,107344.89
2120,103182.586
2121,113964.18
2122,110801.46
2123,82696.72
2124,162193.08
2125,130771.5
2126,170173.19
2127,164998.83
2128,126413.95
2129,105126.05
2130,140959.8
2131,166430.44
2132,110429.375
2133,114952.016
2134,128600.62
2135,103432.86
2136,90464.17
2137,103103.09
2138,135747.73
2139,154677.12
2140,139416.88
2141,142442.84
2142,137235.97
2143,142925.03
2144,114073.6
2145,135462.98
2146,162702.8
2147,143814.89
2148,120413.77
2149,147950.89
2150,224905.17
2151,125111.76
2152,177400.02
2153,163194.16
